,price,neighborhood,parking,balconies,buildingMR,TotalFloors,asset_classification,rooms,floor,shelter,on_pillars,elevator,storeroom,lat,long,home_number,buildyear,Distance_From_Sea,year
185,6200000,19,0,3,190,5.0,3,5,5,0,0,0,0,178900.0,664371.0,10.0,1944,1358,2023
186,3400000,44,1,1,160,2.0,2,5,2,1,0,0,1,180840.0,661917.0,8.0,1991,4407,2023
187,7350000,33,2,1,172,47.0,2,5,32,1,0,1,1,181007.0,666138.0,6.0,2010,2978,2023
188,2350000,30,0,0,55,4.0,3,2,2,0,0,0,0,176659.0,660592.0,9.0,1973,364,2023
189,3390000,7,0,1,55,2.0,5,2,0,0,0,0,0,178977.0,660916.0,1.0,1955,2763,2023
190,20000000,19,2,1,230,5.0,6,8,4,1,0,1,1,178392.0,664698.0,12.0,2015,681,2023
191,5480000,2,1,1,85,10.0,2,3,1,1,0,1,1,180029.0,667432.0,18.0,2015,1420,2023
192,5100000,14,1,2,160,6.0,6,4,6,1,1,1,0,178387.0,664110.0,18.0,1977,900,2023
193,5900000,8,1,0,120,8.0,3,4,7,0,1,1,0,180304.0,667981.0,6.0,2000,1509,2023
194,6500000,27,1,2,125,9.0,3,5,8,1,1,1,0,181445.0,669705.0,93.0,1965,2093,2023
195,19000000,11,2,2,202,7.0,1,4,7,1,1,1,0,179051.0,667152.0,4.0,1952,461,2023
196,3850000,31,2,1,58,13.0,6,2,12,1,1,1,1,177884.0,662791.0,26.0,2016,857,2023
197,3000000,15,0,1,60,3.0,2,2,3,0,0,0,0,176720.0,659890.0,18.0,1968,698,2023
198,8500000,17,0,0,140,3.0,3,4,3,0,1,1,0,179203.0,665229.0,69.0,1949,1361,2023
199,2600000,15,0,0,75,4.0,3,3,1,0,1,0,0,176829.0,660172.0,11.0,1970,709,2023
200,1990000,30,1,0,47,4.0,3,2,2,0,0,0,0,177021.0,661793.0,8.0,1970,299,2023
201,3500000,38,1,2,110,9.0,2,4,8,1,0,1,1,182002.0,661368.0,176.0,1980,5881,2023
202,6250000,49,0,0,140,2.0,2,4,0,1,0,0,0,184945.0,668939.0,120.0,1964,6198,2023
203,4650000,28,1,1,108,8.0,2,5,8,0,1,1,1,181102.0,664908.0,5.0,1972,3551,2023
204,2950000,31,0,0,40,3.0,3,2,3,0,0,0,0,178379.0,662773.0,16.0,1924,1402,2023
205,6600000,33,2,1,130,30.0,6,4,6,0,0,1,1,180931.0,666217.0,5.0,2015,2865,2023
206,5250000,31,0,0,90,1.0,2,4,1,0,0,0,0,178151.0,662707.0,58.0,1994,1179,2023
207,2750000,22,1,1,55,6.0,3,3,3,1,1,1,0,179635.0,662799.0,12.0,2006,2759,2023
208,2100000,15,0,0,75,4.0,3,3,1,0,1,0,0,177132.0,660123.0,35.0,1960,1058,2023
209,1500000,21,0,1,27,3.0,3,1,1,0,0,0,0,179005.0,662233.0,22.0,1930,2290,2023
210,3900000,7,1,1,114,3.0,6,5,2,1,0,1,1,178817.0,661312.0,23.0,2018,2437,2023
211,3900000,36,1,1,78,11.0,6,3,1,1,1,1,1,177261.0,661052.0,24.0,1945,843,2023
212,1700000,44,0,0,45,1.0,2,2,1,0,0,0,0,180167.0,662070.0,30.0,1947,3616,2023
213,4950000,28,1,2,112,27.0,2,4,1,1,1,1,1,181015.0,664670.0,14.0,2011,3547,2023
214,16000000,9,0,0,220,2.0,2,6,0,1,0,0,0,177873.0,663297.0,9.0,1984,651,2023
215,2400000,31,0,1,55,4.0,2,2,2,0,0,0,0,178448.0,662541.0,79.0,1961,1565,2023
216,5780000,19,1,1,77,5.0,6,3,2,1,0,1,0,178135.0,664707.0,3.0,2021,398,2023
217,3100000,28,0,0,75,4.0,3,3,2,0,1,1,0,181358.0,664614.0,36.0,1984,3942,2023
218,9800000,11,1,1,90,2.0,6,4,1,1,0,1,1,179312.0,666210.0,60.0,1995,1105,2023
219,3800000,11,0,0,50,4.0,5,2,2,0,0,0,0,178913.0,666805.0,213.0,1987,443,2023
220,3000000,25,0,0,76,4.0,3,3,2,0,1,0,0,177888.0,661197.0,32.0,1992,1469,2023
221,4700000,36,1,1,111,11.0,3,4,8,1,0,1,1,177303.0,661159.0,22.0,1945,847,2023
222,970000,21,0,2,50,1.0,5,2,1,0,0,0,0,179050.0,662282.0,11.0,1955,2320,2023
223,4950000,41,0,0,90,3.0,2,4,2,1,0,0,0,182050.0,662886.0,15.0,1960,5355,2023
224,4850000,43,2,1,118,24.0,6,4,12,1,1,1,1,185066.0,669572.0,17.0,2020,6089,2023
225,2495000,40,0,0,95,4.0,3,4,3,0,1,0,0,176240.0,660121.0,8.0,1970,88,2023
226,2950000,7,0,0,80,4.0,2,4,4,0,0,0,0,178926.0,660936.0,2.0,1960,2699,2023
227,5750000,5,1,0,102,8.0,3,4,1,0,1,1,0,180692.0,666527.0,67.0,1970,2487,2023
228,3250000,15,1,2,70,6.0,2,3,4,1,0,1,0,177051.0,660070.0,2.0,1989,989,2023
229,2600000,32,0,0,78,4.0,3,3,3,0,1,0,0,182017.0,661619.0,5.0,2021,5802,2023
230,4290000,30,1,1,123,4.0,6,4,0,1,0,1,1,177142.0,661331.0,16.0,2017,606,2023
231,5100000,27,1,1,96,12.0,5,3,10,0,1,1,0,180927.0,669705.0,38.0,1976,1529,2023
232,2200000,44,0,1,80,2.0,3,3,2,0,0,0,0,180484.0,661757.0,35.0,1945,4081,2023
233,1490000,4,0,0,31,4.0,2,1,-1,0,0,0,0,180103.0,665682.0,156.0,1974,2168,2023
234,1900000,15,1,0,100,4.0,3,2,1,1,0,0,0,177357.0,660246.0,26.0,1963,1255,2023
235,5700000,10,1,1,97,6.0,2,3,3,0,0,1,0,180198.0,666111.0,70.0,1972,2107,2023
236,3200000,7,0,0,125,2.0,5,3,0,0,0,0,1,179195.0,661079.0,6.0,1947,2938,2023
237,4500000,21,0,0,200,2.0,2,6,0,0,0,0,1,179579.0,661843.0,3.0,1958,3063,2023
238,3700000,7,0,0,180,2.0,2,5,0,0,0,0,1,179082.0,660932.0,12.0,1969,2871,2023
239,2900000,22,1,1,50,6.0,1,2,3,1,0,1,0,179485.0,662809.0,47.0,1989,2592,2023
240,8680000,31,0,0,160,3.0,2,7,2,0,1,0,0,178401.0,662580.0,21.0,1998,1500,2023
241,3290000,0,1,1,98,18.0,6,4,8,1,1,1,1,180845.0,661231.0,63.0,2019,4675,2023
242,3500000,15,0,0,83,3.0,2,3,1,0,0,0,0,176766.0,660135.0,2.0,1968,654,2023
243,3150000,0,1,1,91,18.0,6,3,11,1,1,0,0,180839.0,661251.0,57.0,2019,4661,2023
244,6000000,2,1,1,119,7.0,3,5,4,1,1,1,1,179845.0,667576.0,9.0,1992,1164,2023
245,3200000,38,1,2,96,14.0,3,4,12,1,0,1,0,181352.0,661309.0,63.0,1987,5197,2023
246,5750000,37,2,1,125,10.0,2,4,5,0,0,1,1,180747.0,671636.0,12.0,2012,596,2023
247,2850000,44,0,2,92,2.0,3,3,2,0,0,0,0,180236.0,662298.0,12.0,1950,3605,2023
248,6500000,12,2,1,125,7.0,2,4,2,1,0,1,1,180212.0,669214.0,15.0,2009,938,2023
249,3150000,41,2,0,80,2.0,2,3,2,0,0,0,0,182052.0,662919.0,17.0,1952,5344,2023
250,6400000,37,2,1,140,11.0,2,4,10,1,1,1,0,180746.0,671721.0,18.0,2012,563,2023
251,4900000,5,1,0,70,4.0,3,3,1,0,1,0,0,180285.0,666874.0,7.0,1960,1911,2023
252,3200000,43,0,0,50,4.0,3,2,4,0,0,0,0,185367.0,669657.0,5.0,1988,6384,2023
253,9500000,37,2,2,155,12.0,2,5,7,0,1,1,0,180410.0,671640.0,4.0,1999,227,2023
254,2980000,34,1,1,64,7.0,6,2,4,1,0,1,1,181142.0,662864.0,4.0,2006,4375,2023
255,3500000,25,0,0,100,7.0,2,4,2,1,1,1,0,178123.0,660662.0,27.0,1973,1930,2023
256,7000000,44,0,0,500,1.0,3,10,0,0,0,0,0,180488.0,661656.0,31.0,1960,4124,2023
257,5100000,50,0,1,69,17.0,1,3,4,1,1,1,0,178205.0,662470.0,46.0,2020,1329,2023
258,4850000,51,1,1,81,6.0,6,3,4,1,0,1,0,180417.0,664236.0,17.0,2014,3062,2023
259,2650000,7,0,0,55,4.0,3,2,0,0,0,0,0,178723.0,661057.0,38.0,1996,2432,2023
260,2550000,7,0,1,50,4.0,2,3,4,0,0,0,0,178698.0,661074.0,34.0,1996,2398,2023
261,3800000,44,1,0,198,2.0,2,5,2,0,0,0,0,181041.0,661822.0,16.0,1996,4663,2023
262,3100000,15,3,3,60,3.0,3,2,1,0,0,0,0,176716.0,659861.0,20.0,1968,705,2023
263,2600000,6,0,0,91,4.0,3,5,2,0,1,0,0,181450.0,661638.0,14.0,2012,5178,2023
264,3850000,49,0,0,115,2.0,5,2,0,0,0,0,0,184840.0,668779.0,102.0,1964,6145,2023
265,2700000,38,0,0,75,8.0,3,3,6,0,1,1,0,181273.0,661360.0,72.0,1970,5092,2023
266,2250000,17,0,3,95,3.0,3,3,3,0,0,0,0,178567.0,664963.0,3.0,1950,771,2023
267,3200000,43,0,0,80,3.0,3,3,2,0,1,0,0,185334.0,669374.0,6.0,1966,6457,2023
268,3250000,22,1,1,73,8.0,6,3,3,1,0,1,0,179607.0,662738.0,16.0,2013,2751,2023
269,5900000,42,1,1,114,48.0,1,4,8,1,0,1,0,180007.0,664023.0,100.0,2016,2696,2023
270,3300000,50,0,3,86,4.0,3,3,4,0,0,0,0,178611.0,662436.0,2.0,1950,1783,2023
271,5100000,18,0,0,115,6.0,5,4,2,0,1,1,0,181885.0,670214.0,11.0,1982,2379,2023
272,2900000,22,1,1,64,6.0,6,2,5,1,0,1,1,179363.0,662737.0,57.0,1990,2487,2023
273,4500000,43,1,1,93,27.0,6,3,13,1,1,1,1,185221.0,669552.0,2.0,2017,6266,2023
